"week","sg_uf","hosp"
10,"AC",6
10,"AL",4
10,"AM",24
10,"AP",2
10,"BA",65
10,"CE",57
10,"DF",59
10,"ES",17
10,"GO",38
10,"MA",79
10,"MG",143
10,"MS",24
10,"MT",13
10,"PA",41
10,"PB",31
10,"PE",53
10,"PI",34
10,"PR",131
10,"RJ",69
10,"RN",9
10,"RO",7
10,"RR",1
10,"RS",61
10,"SC",36
10,"SE",3
10,"SP",616
10,"TO",7
11,"AC",5
11,"AL",9
11,"AM",47
11,"AP",2
11,"BA",130
11,"CE",82
11,"DF",97
11,"ES",30
11,"GO",101
11,"MA",111
11,"MG",404
11,"MS",80
11,"MT",33
11,"PA",53
11,"PB",57
11,"PE",112
11,"PI",55
11,"PR",266
11,"RJ",278
11,"RN",29
11,"RO",9
11,"RR",3
11,"RS",99
11,"SC",90
11,"SE",18
11,"SP",1926
11,"TO",17
11,NA,7
12,"AC",12
12,"AL",31
12,"AM",156
12,"AP",5
12,"BA",200
12,"CE",340
12,"DF",160
12,"ES",86
12,"GO",193
12,"MA",120
12,"MG",999
12,"MS",200
12,"MT",60
12,"PA",126
12,"PB",146
12,"PE",265
12,"PI",121
12,"PR",597
12,"RJ",831
12,"RN",80
12,"RO",10
12,"RR",10
12,"RS",400
12,"SC",272
12,"SE",20
12,"SP",5198
12,"TO",20
12,NA,6
13,"AC",18
13,"AL",27
13,"AM",303
13,"AP",13
13,"BA",191
13,"CE",472
13,"DF",147
13,"ES",82
13,"GO",174
13,"MA",162
13,"MG",1036
13,"MS",166
13,"MT",97
13,"PA",158
13,"PB",143
13,"PE",307
13,"PI",149
13,"PR",701
13,"RJ",1062
13,"RN",67
13,"RO",12
13,"RR",4
13,"RS",606
13,"SC",289
13,"SE",25
13,"SP",6287
13,"TO",17
13,NA,1
14,"AC",34
14,"AL",40
14,"AM",586
14,"AP",15
14,"BA",214
14,"CE",552
14,"DF",138
14,"ES",142
14,"GO",185
14,"MA",274
14,"MG",969
14,"MS",180
14,"MT",100
14,"PA",283
14,"PB",117
14,"PE",550
14,"PI",113
14,"PR",693
14,"RJ",1604
14,"RN",84
14,"RO",49
14,"RR",4
14,"RS",517
14,"SC",229
14,"SE",22
14,"SP",5951
14,"TO",10
14,NA,1
15,"AC",58
15,"AL",78
15,"AM",985
15,"AP",15
15,"BA",274
15,"CE",807
15,"DF",146
15,"ES",153
15,"GO",183
15,"MA",429
15,"MG",870
15,"MS",141
15,"MT",90
15,"PA",662
15,"PB",133
15,"PE",1105
15,"PI",128
15,"PR",646
15,"RJ",2261
15,"RN",82
15,"RO",43
15,"RR",12
15,"RS",525
15,"SC",250
15,"SE",31
15,"SP",5953
15,"TO",14
15,NA,4
16,"AC",63
16,"AL",154
16,"AM",1179
16,"AP",25
16,"BA",400
16,"CE",1172
16,"DF",141
16,"ES",148
16,"GO",189
16,"MA",582
16,"MG",894
16,"MS",123
16,"MT",65
16,"PA",1190
16,"PB",182
16,"PE",1416
16,"PI",153
16,"PR",699
16,"RJ",3144
16,"RN",91
16,"RO",65
16,"RR",11
16,"RS",597
16,"SC",245
16,"SE",33
16,"SP",6988
16,"TO",13
17,"AC",70
17,"AL",263
17,"AM",1356
17,"AP",77
17,"BA",401
17,"CE",1720
17,"DF",179
17,"ES",186
17,"GO",231
17,"MA",658
17,"MG",994
17,"MS",147
17,"MT",72
17,"PA",1798
17,"PB",304
17,"PE",1832
17,"PI",186
17,"PR",766
17,"RJ",3740
17,"RN",127
17,"RO",70
17,"RR",26
17,"RS",718
17,"SC",270
17,"SE",58
17,"SP",8427
17,"TO",40
17,NA,3
18,"AC",61
18,"AL",380
18,"AM",1352
18,"AP",87
18,"BA",543
18,"CE",2369
18,"DF",235
18,"ES",244
18,"GO",302
18,"MA",966
18,"MG",1077
18,"MS",131
18,"MT",99
18,"PA",2114
18,"PB",418
18,"PE",1982
18,"PI",254
18,"PR",755
18,"RJ",4098
18,"RN",225
18,"RO",87
18,"RR",26
18,"RS",705
18,"SC",258
18,"SE",94
18,"SP",8869
18,"TO",60
18,NA,2
19,"AC",81
19,"AL",498
19,"AM",957
19,"AP",104
19,"BA",696
19,"CE",2498
19,"DF",252
19,"ES",318
19,"GO",300
19,"MA",795
19,"MG",1156
19,"MS",124
19,"MT",165
19,"PA",1845
19,"PB",547
19,"PE",1902
19,"PI",302
19,"PR",732
19,"RJ",3455
19,"RN",267
19,"RO",99
19,"RR",32
19,"RS",737
19,"SC",256
19,"SE",96
19,"SP",9054
19,"TO",89
20,"AC",121
20,"AL",584
20,"AM",862
20,"AP",107
20,"BA",942
20,"CE",2321
20,"DF",320
20,"ES",347
20,"GO",372
20,"MA",717
20,"MG",1324
20,"MS",159
20,"MT",202
20,"PA",1784
20,"PB",563
20,"PE",1938
20,"PI",369
20,"PR",844
20,"RJ",3431
20,"RN",358
20,"RO",123
20,"RR",51
20,"RS",781
20,"SC",305
20,"SE",131
20,"SP",10295
20,"TO",110
21,"AC",91
21,"AL",549
21,"AM",620
21,"AP",109
21,"BA",1017
21,"CE",1703
21,"DF",427
21,"ES",382
21,"GO",372
21,"MA",580
21,"MG",1369
21,"MS",204
21,"MT",273
21,"PA",1302
21,"PB",583
21,"PE",1541
21,"PI",372
21,"PR",884
21,"RJ",2725
21,"RN",391
21,"RO",156
21,"RR",80
21,"RS",813
21,"SC",325
21,"SE",153
21,"SP",9570
21,"TO",84
21,NA,1
22,"AC",68
22,"AL",476
22,"AM",495
22,"AP",106
22,"BA",1095
22,"CE",1332
22,"DF",478
22,"ES",374
22,"GO",456
22,"MA",396
22,"MG",1525
22,"MS",165
22,"MT",249
22,"PA",958
22,"PB",523
22,"PE",1280
22,"PI",329
22,"PR",1053
22,"RJ",2048
22,"RN",418
22,"RO",172
22,"RR",77
22,"RS",778
22,"SC",307
22,"SE",170
22,"SP",9050
22,"TO",77
22,NA,1
23,"AC",95
23,"AL",517
23,"AM",489
23,"AP",105
23,"BA",1193
23,"CE",1323
23,"DF",758
23,"ES",393
23,"GO",632
23,"MA",425
23,"MG",2130
23,"MS",235
23,"MT",252
23,"PA",936
23,"PB",472
23,"PE",1226
23,"PI",485
23,"PR",1375
23,"RJ",2075
23,"RN",536
23,"RO",195
23,"RR",108
23,"RS",955
23,"SC",395
23,"SE",207
23,"SP",10155
23,"TO",137
23,NA,3
24,"AC",70
24,"AL",443
24,"AM",366
24,"AP",60
24,"BA",1119
24,"CE",1221
24,"DF",804
24,"ES",377
24,"GO",705
24,"MA",316
24,"MG",2339
24,"MS",282
24,"MT",318
24,"PA",851
24,"PB",440
24,"PE",1033
24,"PI",529
24,"PR",1616
24,"RJ",1692
24,"RN",494
24,"RO",188
24,"RR",96
24,"RS",1059
24,"SC",456
24,"SE",221
24,"SP",9526
24,"TO",92
24,NA,2
25,"AC",65
25,"AL",400
25,"AM",386
25,"AP",60
25,"BA",1142
25,"CE",1116
25,"DF",972
25,"ES",364
25,"GO",983
25,"MA",287
25,"MG",2780
25,"MS",345
25,"MT",407
25,"PA",804
25,"PB",459
25,"PE",1096
25,"PI",561
25,"PR",1668
25,"RJ",1665
25,"RN",486
25,"RO",181
25,"RR",79
25,"RS",1366
25,"SC",686
25,"SE",287
25,"SP",9411
25,"TO",117
25,NA,4
26,"AC",60
26,"AL",279
26,"AM",286
26,"AP",34
26,"BA",1035
26,"CE",922
26,"DF",921
26,"ES",354
26,"GO",1073
26,"MA",189
26,"MG",2813
26,"MS",316
26,"MT",365
26,"PA",572
26,"PB",411
26,"PE",987
26,"PI",434
26,"PR",1593
26,"RJ",1408
26,"RN",388
26,"RO",176
26,"RR",59
26,"RS",1321
26,"SC",650
26,"SE",243
26,"SP",8687
26,"TO",107
27,"AC",67
27,"AL",313
27,"AM",364
27,"AP",46
27,"BA",1150
27,"CE",944
27,"DF",1047
27,"ES",285
27,"GO",1288
27,"MA",189
27,"MG",3293
27,"MS",462
27,"MT",369
27,"PA",660
27,"PB",460
27,"PE",1162
27,"PI",449
27,"PR",1909
27,"RJ",1550
27,"RN",380
27,"RO",191
27,"RR",74
27,"RS",1479
27,"SC",929
27,"SE",268
27,"SP",10102
27,"TO",150
28,"AC",69
28,"AL",278
28,"AM",325
28,"AP",46
28,"BA",1153
28,"CE",910
28,"DF",1101
28,"ES",254
28,"GO",1296
28,"MA",170
28,"MG",3190
28,"MS",523
28,"MT",372
28,"PA",605
28,"PB",386
28,"PE",1113
28,"PI",435
28,"PR",2135
28,"RJ",1460
28,"RN",313
28,"RO",185
28,"RR",50
28,"RS",1736
28,"SC",1124
28,"SE",241
28,"SP",10097
28,"TO",152
28,NA,3
29,"AC",41
29,"AL",219
29,"AM",299
29,"AP",26
29,"BA",1108
29,"CE",825
29,"DF",1040
29,"ES",242
29,"GO",1136
29,"MA",127
29,"MG",3145
29,"MS",534
29,"MT",351
29,"PA",585
29,"PB",353
29,"PE",1070
29,"PI",333
29,"PR",1952
29,"RJ",1388
29,"RN",276
29,"RO",164
29,"RR",51
29,"RS",1740
29,"SC",1230
29,"SE",219
29,"SP",9037
29,"TO",144
29,NA,2
30,"AC",51
30,"AL",219
30,"AM",248
30,"AP",39
30,"BA",1038
30,"CE",742
30,"DF",1093
30,"ES",200
30,"GO",1329
30,"MA",138
30,"MG",3078
30,"MS",535
30,"MT",387
30,"PA",561
30,"PB",374
30,"PE",1047
30,"PI",275
30,"PR",1908
30,"RJ",1345
30,"RN",237
30,"RO",190
30,"RR",32
30,"RS",1698
30,"SC",1241
30,"SE",166
30,"SP",8735
30,"TO",157
30,NA,2
31,"AC",51
31,"AL",174
31,"AM",273
31,"AP",40
31,"BA",939
31,"CE",640
31,"DF",995
31,"ES",199
31,"GO",1313
31,"MA",119
31,"MG",2801
31,"MS",607
31,"MT",348
31,"PA",529
31,"PB",376
31,"PE",964
31,"PI",221
31,"PR",1920
31,"RJ",1320
31,"RN",180
31,"RO",194
31,"RR",31
31,"RS",1681
31,"SC",992
31,"SE",133
31,"SP",8184
31,"TO",145
31,NA,1
32,"AC",47
32,"AL",152
32,"AM",201
32,"AP",35
32,"BA",819
32,"CE",576
32,"DF",805
32,"ES",173
32,"GO",1330
32,"MA",128
32,"MG",2636
32,"MS",503
32,"MT",357
32,"PA",460
32,"PB",361
32,"PE",863
32,"PI",244
32,"PR",1872
32,"RJ",1260
32,"RN",156
32,"RO",161
32,"RR",31
32,"RS",1590
32,"SC",917
32,"SE",93
32,"SP",7556
32,"TO",180
33,"AC",47
33,"AL",146
33,"AM",252
33,"AP",47
33,"BA",884
33,"CE",592
33,"DF",859
33,"ES",165
33,"GO",1455
33,"MA",124
33,"MG",2945
33,"MS",548
33,"MT",366
33,"PA",541
33,"PB",327
33,"PE",889
33,"PI",256
33,"PR",1938
33,"RJ",1347
33,"RN",157
33,"RO",183
33,"RR",17
33,"RS",1554
33,"SC",819
33,"SE",89
33,"SP",7464
33,"TO",189
33,NA,1
34,"AC",35
34,"AL",139
34,"AM",239
34,"AP",27
34,"BA",800
34,"CE",621
34,"DF",699
34,"ES",154
34,"GO",1447
34,"MA",103
34,"MG",2671
34,"MS",539
34,"MT",298
34,"PA",478
34,"PB",304
34,"PE",833
34,"PI",214
34,"PR",1625
34,"RJ",1260
34,"RN",127
34,"RO",146
34,"RR",21
34,"RS",1560
34,"SC",684
34,"SE",64
34,"SP",6606
34,"TO",162
34,NA,1
35,"AC",31
35,"AL",112
35,"AM",222
35,"AP",21
35,"BA",698
35,"CE",514
35,"DF",556
35,"ES",109
35,"GO",1114
35,"MA",74
35,"MG",2455
35,"MS",462
35,"MT",225
35,"PA",372
35,"PB",303
35,"PE",769
35,"PI",173
35,"PR",1751
35,"RJ",1248
35,"RN",125
35,"RO",111
35,"RR",17
35,"RS",1470
35,"SC",636
35,"SE",68
35,"SP",6345
35,"TO",145
35,NA,2
